Iteration,Particle,Val_Loss,LR,Batch,Alpha,Gamma,Conv_Out,LSTM_Hidden
1,1,0.17383228242397308,0.00599,21,0.63,1.1,9,61
1,2,0.1544145941734314,0.07887,106,0.41,0.84,24,37
1,3,0.012041430920362473,0.00023,71,0.22,3.68,14,47
1,4,0.1724061369895935,0.00086,74,0.58,1.15,31,53
1,5,0.03182925283908844,0.06584,116,0.62,3.73,10,25
1,6,0.11970524489879608,0.00014,52,0.47,1.45,27,33
1,7,0.0203216765075922,0.0007,76,0.3,3.31,9,63
1,8,0.01298295147716999,0.02074,38,0.2,3.35,24,50
1,9,0.16175636649131775,0.0206,24,0.45,0.91,28,45
1,10,0.08283655345439911,0.00098,23,0.42,1.64,25,46
2,1,0.011596666648983955,0.00763,33,0.27,3.86,14,57
2,2,0.013995053246617317,0.00019,93,0.32,4.0,13,48
2,3,0.011599438264966011,0.00017,72,0.21,3.69,15,46
2,4,0.01309259794652462,0.00012,75,0.2,3.4,10,47
2,5,0.02519560419023037,0.00067,86,0.51,3.81,12,24
2,6,0.008541028015315533,0.0003,57,0.2,4.0,8,39
2,7,0.011703772470355034,0.00056,68,0.27,3.98,14,43
2,8,0.011501883156597614,0.00269,54,0.2,3.45,23,47
2,9,0.06168239191174507,0.0001,75,0.25,1.48,16,47
2,10,0.010110931470990181,0.00072,58,0.2,3.75,13,47
3,1,0.007863078266382217,0.00112,48,0.2,4.0,17,51
3,2,0.008827455341815948,0.0001,85,0.2,4.0,8,53
3,3,0.009491987526416779,0.00022,63,0.2,3.89,11,39
3,4,0.009122056886553764,0.00011,74,0.2,4.0,8,34
3,5,0.018369033932685852,0.0001,64,0.43,4.0,13,37
3,6,0.008675917983055115,0.00044,60,0.2,4.0,8,42
3,7,0.00869691837579012,0.00021,58,0.2,4.0,15,33
3,8,0.008697522804141045,0.0007,62,0.2,4.0,20,41
3,9,0.019921597093343735,0.0001,100,0.2,2.83,8,39
3,10,0.008703191764652729,0.00027,75,0.2,4.0,8,46
4,1,0.008565748110413551,0.00043,55,0.2,4.0,18,49
4,2,0.00867338478565216,0.0001,53,0.2,4.0,8,55
4,3,0.00839942879974842,0.00033,43,0.2,4.0,17,42
4,4,0.00868032407015562,0.00028,39,0.2,4.0,8,53
4,5,0.008793358691036701,0.0001,31,0.2,4.0,14,55
4,6,0.00827835127711296,0.0014,49,0.2,4.0,9,50
4,7,0.008379866369068623,0.00055,39,0.2,4.0,18,53
4,8,0.008480330929160118,0.00049,53,0.2,4.0,17,44
4,9,0.008760491386055946,0.00035,107,0.2,4.0,13,45
4,10,0.008513043634593487,0.00032,50,0.2,4.0,16,52
5,1,0.008305384777486324,0.00383,47,0.2,4.0,16,53
5,2,0.008043359033763409,0.00132,29,0.2,4.0,12,55
5,3,0.00807949248701334,0.00095,40,0.2,4.0,20,47
5,4,0.008456096984446049,0.00052,23,0.2,4.0,8,61
5,5,0.008591820485889912,0.0001,23,0.2,4.0,17,63
5,6,0.007672311272472143,0.00234,43,0.2,4.0,12,54
5,7,0.007649595383554697,0.00103,36,0.2,4.0,18,61
5,8,0.008403165265917778,0.00043,42,0.2,4.0,15,56
5,9,0.0084523381665349,0.00072,85,0.2,4.0,17,50
5,10,0.007825158536434174,0.0007,36,0.2,4.0,21,54
6,1,0.007611812558025122,0.00234,40,0.2,4.0,17,57
6,2,0.007390541490167379,0.00461,23,0.2,4.0,16,59
6,3,0.007591734640300274,0.00171,38,0.2,4.0,21,64
6,4,0.008096905425190926,0.001,30,0.2,4.0,19,64
6,5,0.008206362836062908,0.00051,27,0.2,4.0,20,64
6,6,0.007503412663936615,0.00259,32,0.2,4.0,14,64
6,7,0.008209026418626308,0.0014,34,0.2,4.0,18,64
6,8,0.008133483119308949,0.0005,29,0.2,4.0,16,64
6,9,0.007415936794131994,0.00128,16,0.2,4.0,19,58
6,10,0.0074205175042152405,0.00159,29,0.2,4.0,22,61
7,1,0.007512923330068588,0.00289,33,0.2,4.0,18,62
7,2,0.007986373268067837,0.00861,20,0.2,4.0,18,62
7,3,0.007617597468197346,0.00758,37,0.2,4.0,18,64
7,4,0.007370832376182079,0.00305,30,0.2,4.0,24,63
7,5,0.007754072546958923,0.00184,28,0.2,4.0,16,62
